id,year,country,state_province,district,actors,side_a,side_b,conflict,deaths_a,deaths_b,deaths_civilians,deaths_unknown,deaths_total,latitude,longitude,location_name,headline,date,month,month_name,year_month,violence_type,severity
416576,2021,Nigeria,Borno state,Damboa lga,Government of Nigeria - IS,Government of Nigeria,IS,Nigeria: Islamic State,0,0,0,0,0,11.15604,12.75758,Council headquarters of Damboa in Borno state,"Many Feared Killed, Hundreds Flee to Sambisa As Boko Haram Invades Borno LGA, Damboa;Nigeria jihadists attack surrendered rivals in camp;ISWAP also published a statement on that attack, and it does sound the same, although in the opposite direction",2021-10-02,10,Oct,2021-10,State-based conflict,No deaths recorded
420309,2021,Nigeria,Borno state,Gwoza lga,JAS - Civilians,JAS,Civilians,JAS - Civilians,0,0,5,0,5,11.103593,13.712983,in Gwoza,Gwoza Returnees Facing Increased Boko Haram Hostility Amid Harvest Season,2021-10-02,10,Oct,2021-10,One-sided (civilians),Low (1–5)
416965,2021,Nigeria,Anambra state,Nnewi North lga,IPOB - Civilians,IPOB,Civilians,IPOB - Civilians,0,0,2,0,2,6.01986,6.91478,"in Nnewi, Anambra","Anambra: Gunmen attack DSS, FRSC in Nnewi;Nigerian Flags Removed From Buildings In Anambra As IPOB Unleashes Terror;Terror in Nnewi - 2 Killed, DSS, FRSC Offices Set Ablaze;VIDEO: IPOB invaded my house in Nnewi, set it ablaze -Joe Igbokwe",2021-10-03,10,Oct,2021-10,One-sided (civilians),Low (1–5)
420439,2021,Nigeria,Borno state,,Government of Nigeria - IS,Government of Nigeria,IS,Nigeria: Islamic State,0,0,0,0,0,11.5,13.0,Ajiri-Dikwa road,Let's try to summarize the last week. I will start with what ISWAP claimed,2021-10-03,10,Oct,2021-10,State-based conflict,No deaths recorded
420146,2021,Niger,Tillabéri region,Tera department,IS - Civilians,IS,Civilians,IS - Civilians,0,0,6,0,6,14.186,0.853,in Tera department,Niger OCTOBER 2021,2021-10-03,10,Oct,2021-10,One-sided (civilians),Medium (6–20)
416981,2021,Nigeria,Plateau state,Bassa lga,Fulani - Irigwe,Fulani,Irigwe,Fulani - Irigwe,0,3,0,0,3,9.85,8.683333,"in the Hukke village of Miango District, of Bassa Local Government Area of Plateau",3 Killed In Another Plateau Attack,2021-10-03,10,Oct,2021-10,Non-state conflict,Low (1–5)
420511,2021,Cameroon,North-West region,Mezam département,Government of Cameroon - Ambazonia insurgents,Government of Cameroon,Ambazonia insurgents,Cameroon: Ambazonia,0,1,0,0,1,5.9597,10.14597,around the rendezvous neighborhood in Bamenda,Anglophone Crisis: Denizens Celebrate Killing Of ‘Notorious’ Amba Fighter In Bamenda,2021-10-04,10,Oct,2021-10,State-based conflict,Low (1–5)
420147,2021,Niger,Tillabéri region,Tillabéri department,IS - Civilians,IS,Civilians,IS - Civilians,0,0,2,0,2,14.5,1.333333,Tillabery department,Niger OCTOBER 2021,2021-10-05,10,Oct,2021-10,One-sided (civilians),Low (1–5)
420394,2021,Nigeria,Borno state,,IS - JAS,IS,JAS,IS - JAS,0,0,0,87,87,13.151034,13.964249,a camp belonging to affiliates of the Bakoura group in the Lake Chad region,"ISWAP Insurgents In Boats Attack Boko Haram Camp In Lake Chad;ISWAP Launches Reprisal Attack in Boko Haram Camp, 87 Terrorists Feared Dead;What could do more damage, are the clashes with the Bakura group in Lake Chad",2021-10-05,10,Oct,2021-10,Non-state conflict,Severe (50+)
420154,2021,Cameroon,North-West region,Bui département,Ambazonia insurgents - Civilians,Ambazonia insurgents,Civilians,Ambazonia insurgents - Civilians,0,0,1,0,1,6.25,10.75,in Bui division,Cameroon OCTOBER 2021,2021-10-06,10,Oct,2021-10,One-sided (civilians),Low (1–5)
420445,2021,Nigeria,Borno state,Chibok lga,IS - Civilians,IS,Civilians,IS - Civilians,0,0,0,0,0,10.803005,12.779446,"Shikarkir (Chibok LGA, https://openstreetmap.org/node/501518801)","2. 06/10 - Shikarkir (Chibok LGA, https://openstreetmap.org/node/501518801) - three Christians killed",2021-10-06,10,Oct,2021-10,One-sided (civilians),No deaths recorded
420446,2021,Nigeria,Borno state,Biu lga,IS - Civilians,IS,Civilians,IS - Civilians,0,0,0,0,0,10.710731,12.250619,"Mandafuma (Biu LGA, https://openstreetmap.org/node/3382918857#map=13/10.7105/12.2506)","2. 06/10 - Shikarkir (Chibok LGA, https://openstreetmap.org/node/501518801) - three Christians killed",2021-10-07,10,Oct,2021-10,One-sided (civilians),No deaths recorded
420160,2021,Cameroon,Far North region,Mayo-Tsanaga department,JAS - Civilians,JAS,Civilians,JAS - Civilians,0,0,5,0,5,11.13562,13.88216,"in Achighachia, Mayo Tsanaga Division",Cameroon OCTOBER 2021;#Cameroun : 05 personnes ont tuées hier nuit à #Assighassia,2021-10-07,10,Oct,2021-10,One-sided (civilians),Low (1–5)
